0,0,0,0,0,0,0,0,0,0
129.46,2.4426,0.0024426,21.031,22.789,18.539,22.57,1,1,100
129.34,2.4426,0.83903,21.251,22.789,18.466,22.423,2,2,100
129.34,2.4426,1.3092,21.251,22.863,18.539,22.35,3,3,100
129.46,2.4426,1.4936,21.104,22.863,18.466,22.423,4,4,100
129.46,2.4426,1.5633,21.104,22.863,18.466,22.35,5,5,100
129.58,2.4426,1.5865,21.104,22.789,18.393,22.423,6,6,100
129.46,2.4426,1.5962,21.177,22.789,18.466,22.35,7,7,100
129.58,2.6869,1.5987,21.104,22.789,18.393,22.423,8,8,100
129.34,2.4426,1.6011,21.104,22.789,18.466,22.423,9,9,100
129.34,2.4426,1.6023,21.104,22.789,18.393,22.35,10,10,100
129.58,2.4426,1.5987,21.104,22.863,18.466,22.423,11,11,100
129.34,2.4426,1.6048,21.177,22.863,18.539,22.35,12,12,100
129.58,2.4426,1.6036,21.104,22.789,18.539,22.35,13,13,100
129.34,2.1983,1.6011,21.177,22.789,18.539,22.423,14,14,100
129.46,2.4426,1.5987,21.104,22.863,18.613,22.496,15,15,100
129.46,2.4426,1.5987,21.104,22.789,18.539,22.423,16,16,100
129.46,2.4426,1.6011,21.104,22.716,18.539,22.35,17,17,100
129.46,2.4426,1.5975,21.104,22.789,18.539,22.496,18,18,100
129.34,2.4426,1.6023,21.104,22.789,18.466,22.423,19,19,100
129.58,2.1983,1.5962,21.104,22.789,18.539,22.35,20,20,100
129.82,2.4426,1.6023,21.104,22.789,18.539,22.496,21,21,100
129.34,2.4426,1.5987,21.104,22.863,19.565,22.496,22,22,100
129.34,2.1983,1.5975,21.031,22.716,19.932,22.35,23,23,100
129.46,2.4426,1.5999,21.104,22.863,19.932,22.423,24,24,100
129.46,2.6869,1.5975,21.104,22.789,19.712,22.643,25,25,100
129.58,2.1983,1.5938,21.397,22.643,19.712,22.496,26,26,100
129.34,2.4426,1.5962,21.764,22.277,19.638,22.496,27,27,100
129.21,4.1524,1.5938,21.837,22.057,19.638,22.423,28,28,100
129.34,2.6869,1.5962,21.764,21.837,19.785,22.423,29,29,100
129.34,2.6869,1.5987,21.837,22.203,19.785,22.496,30,30,100
129.09,2.6869,1.5987,21.617,22.57,19.858,22.423,31,31,100
129.09,2.4426,1.5999,21.69,22.277,19.785,22.423,32,32,100
129.21,2.1983,1.5962,21.617,22.35,19.565,22.423,33,33,100
129.21,4.1524,1.6011,21.47,23.596,19.126,22.35,34,34,100
128.97,9.7704,1.6011,21.397,25.721,18.686,22.35,35,35,100
128.97,2.6869,1.6023,21.324,27.479,18.246,22.423,36,36,100
128.85,2.4426,1.6011,21.251,28.432,17.587,22.423,37,37,100
128.85,3.9082,1.5975,21.251,29.311,17.22,22.35,38,38,100
128.85,7.3278,1.5987,21.177,29.751,16.781,22.496,39,39,100
128.6,2.4426,1.6023,21.104,30.337,16.634,22.57,40,40,100
128.48,2.4426,1.5987,21.104,30.923,16.341,22.863,41,41,100
128.36,2.4426,1.5999,21.031,31.363,16.121,22.936,42,42,100
128.48,2.9311,1.6011,21.031,31.729,15.901,23.229,43,43,100
128.24,2.6869,1.595,20.957,32.096,15.828,23.449,44,44,100
128.11,2.4426,1.5962,20.957,32.535,15.608,23.742,45,45,100
128.11,2.4426,1.5987,21.104,32.755,15.462,23.889,46,46,100
128.11,10.992,1.5962,21.251,33.122,15.315,24.035,47,47,100
127.99,4.8852,1.5987,21.47,33.561,15.315,24.328,48,48,100
127.87,30.044,1.5938,21.837,33.781,15.095,24.621,49,49,100
127.75,38.837,1.5962,22.277,34.148,15.095,24.768,50,50,100
127.63,40.303,1.595,22.716,34.441,14.949,25.061,51,51,100
127.5,44.944,1.5962,22.936,34.66,14.875,25.354,52,52,100
127.14,60.576,1.5938,23.449,34.954,14.875,25.574,53,53,100
127.26,71.08,1.595,23.889,35.247,14.802,25.867,54,54,100
126.89,82.316,1.595,24.402,35.54,14.875,26.307,55,55,100
126.77,88.422,1.5962,24.768,35.76,14.802,26.453,56,56,100
126.89,87.689,1.595,25.281,36.053,14.729,26.893,57,57,100
126.53,95.75,1.5962,25.721,36.199,14.656,27.259,58,58,100
126.4,104.05,1.5987,26.087,36.346,14.656,27.699,59,59,100
126.4,104.05,1.5962,26.38,36.639,14.656,27.919,60,60,100
